ID ,Primary_Property_ID ,Property_Name,SV ,Agoda,MMT ,Booking ,Airbnb
5290,5290,Crimson Bleu,https://www.stayvista.com/villa/crimson-bleu,https://www.agoda.com/en-in/stayvista-at-crimson-bleu/hotel/bhor-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601311259302390&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000726863https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/crimson-bleu.html,https://www.airbnb.com/rooms/1610688539376568950
5291,5291,The Green Courtyard,https://www.stayvista.com/villa/the-green-courtyard,https://www.agoda.com/stayvista-at-the-green-courtyard/hotel/badlapur-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601271723108308&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000724987https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-green-courtyard-with-pool-and-bbq.html,https://www.airbnb.com/rooms/1607837569483096193
5292,5292,Stonecrest,https://www.stayvista.com/villa/stonecrest-villa-shashtradhara,https://www.agoda.com/stayvista-at-stonecrest/hotel/dehradun-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601302109017414&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000726454https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-stonecrest-with-lawn-mountain-view.html,https://www.airbnb.com/rooms/1609364342993817803
5294,5294,The Sunset Residency,https://www.stayvista.com/villa/the-sunset-residency,https://www.agoda.com/stayvista-at-the-sunset-residency/hotel/udaipur-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202602281452464558&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000774734https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-sunset-residency-with-pool-amp-bbq.html,https://www.airbnb.com/rooms/1630953454837944697
5298,5298,Flame @ Hill Top Heaven,https://www.stayvista.com/villa/flame-at-hill-top-heaven,https://partnerhub.agoda.com/partner-help/,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202603061441149518&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000776066https://www.makemytrip.com/hotels/hotel-details/?hotelId=,,
5299,5299,Golden Pause,https://www.stayvista.com/villa/golden-pause,https://www.agoda.com/stayvista-at-golden-pause/hotel/achrol-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202602111044233854&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000731209https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/golden-pause.html,https://www.airbnb.com/rooms/1620067440636460885
5303,5303,Tamarind Trails,https://www.stayvista.com/villa/tamarind-trails,https://www.agoda.com/stayvista-at-tamarind-trails/hotel/malavli-in.html,#REF!,https://www.booking.com/hotel/in/stayvista-at-tamarind-trails.html,https://www.airbnb.com/rooms/1649869418648540846
5304,5304,Evara Farms,https://www.stayvista.com/villa/evara-farms,https://www.agoda.com/en-in/stayvista-at-evara-villa/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202603251610145472&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000781245https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-evara-farms.html,https://www.airbnb.com/rooms/1683096895618125756
5306,4735,Thelma & Louise Cottage,https://www.stayvista.com/villa/thelma-louise-cottage,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601091137453206&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000720078https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/louise-cottage.html,https://www.airbnb.com/rooms/1594620122014686337
5307,5307,brickhouse-aranya,https://www.stayvista.com/villa/brickhouse-aranya,https://www.agoda.com/stayvista-at-brickhouse-aranya/hotel/khambale-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202602181327174590&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000733349https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-brickhouse-aranya.html,https://www.airbnb.com/rooms/1605051472972031677
